PLIK WEJSCIOWY	CZAS[ns]
./dataFiles/tsp_6.txt	24100
./dataFiles/tsp_6.txt	10400
./dataFiles/tsp_6.txt	44700
./dataFiles/tsp_6.txt	27800
./dataFiles/tsp_6.txt	16600
./dataFiles/tsp_6.txt	15600
./dataFiles/tsp_6.txt	11800
./dataFiles/tsp_6.txt	14400
./dataFiles/tsp_6.txt	18800
./dataFiles/tsp_6.txt	12300
./dataFiles/tsp_6.txt	19700
./dataFiles/tsp_6.txt	8900
./dataFiles/tsp_6.txt	9000
./dataFiles/tsp_6.txt	6800
./dataFiles/tsp_6.txt	9400
./dataFiles/tsp_6.txt	10600
./dataFiles/tsp_6.txt	13300
./dataFiles/tsp_6.txt	24100
./dataFiles/tsp_6.txt	9000
./dataFiles/tsp_6.txt	7400
./dataFiles/tsp_6.txt	5800
./dataFiles/tsp_6.txt	10100
./dataFiles/tsp_6.txt	8000
./dataFiles/tsp_6.txt	8000
./dataFiles/tsp_6.txt	6700
./dataFiles/tsp_6.txt	11600
./dataFiles/tsp_6.txt	20500
./dataFiles/tsp_6.txt	26000
./dataFiles/tsp_6.txt	18100
./dataFiles/tsp_6.txt	15400
./dataFiles/tsp_6.txt	15300
./dataFiles/tsp_6.txt	10200
./dataFiles/tsp_6.txt	16800
./dataFiles/tsp_6.txt	12300
./dataFiles/tsp_6.txt	12100
./dataFiles/tsp_6.txt	12800
./dataFiles/tsp_6.txt	8600
./dataFiles/tsp_6.txt	7200
./dataFiles/tsp_6.txt	6100
./dataFiles/tsp_6.txt	9500
./dataFiles/tsp_6.txt	13900
./dataFiles/tsp_6.txt	8100
./dataFiles/tsp_6.txt	7200
./dataFiles/tsp_6.txt	12900
./dataFiles/tsp_6.txt	10100
./dataFiles/tsp_6.txt	10500
./dataFiles/tsp_6.txt	13900
./dataFiles/tsp_6.txt	10400
./dataFiles/tsp_6.txt	9500
./dataFiles/tsp_6.txt	7200
./dataFiles/tsp_6.txt	16900
./dataFiles/tsp_6.txt	9000
./dataFiles/tsp_6.txt	8100
./dataFiles/tsp_6.txt	9700
./dataFiles/tsp_6.txt	6000
./dataFiles/tsp_6.txt	6100
./dataFiles/tsp_6.txt	6200
./dataFiles/tsp_6.txt	9300
./dataFiles/tsp_6.txt	6000
./dataFiles/tsp_6.txt	6300
./dataFiles/tsp_6.txt	8700
./dataFiles/tsp_6.txt	13000
./dataFiles/tsp_6.txt	9100
./dataFiles/tsp_6.txt	10000
./dataFiles/tsp_6.txt	19700
./dataFiles/tsp_6.txt	8400
./dataFiles/tsp_6.txt	7900
./dataFiles/tsp_6.txt	7200
./dataFiles/tsp_6.txt	11900
